" In Swing, the password field has a getPassword() (returns char[]) method instead of the usual getText() (returns String) method. Similarly, I have come across a suggestion not to use String to handle passwords. Why does String pose a threat to security when it comes to passwords?It feels inconvenient to use char[].",=https://stackoverflow.com/questions/8881291/why-is-char-preferred-over-string-for-passwords/8881376,//books.google.com/books?id=QxNTDwAAQBAJ,=http://www.techoons.com/forumQuestion.php%3Fquesn_id%3D5942c972aa394,,,,,,,,,,,,,,
" What are the best workarounds for using a SQL IN clause with instances of java.sql.PreparedStatement, which is not supported for multiple values due to SQL injection attack security issues: One ? placeholder represents one value, rather than a list of values. Consider the following SQL statement: SELECT my_column FROM my_table where search_column IN (?) Using preparedStatement.setString( 1, ""'A', 'B', 'C'"" ); is essentially a non-working attempt at a workaround of the reasons for using ? in the first place. What workarounds are available?",=https://stackoverflow.com/a/10240302,=https://stackoverflow.com/questions/8263371/how-can-prepared-statements-protect-from-sql-injection-attacks,=https://www.owasp.org/index.php/SQL_Injection,,,,,,,,,,,,,,
I'm trying to retrieve a file from a server using SFTP (as opposed to FTPS) using Java. How can I do this?,=https://stackoverflow.com/questions/14617/how-to-retrieve-a-file-from-a-server-via-sftp/2690861,=http://doerner-team.de/forum/2i3t7.php%3Ftday%3Dsftp-file,//books.google.com/books?id=QxNTDwAAQBAJ,,,,,,,,,,,,,,
" My team got handed over some server side code (in Java) that generates random tokens and I have a question regarding the same - The purpose of these tokens is fairly sensitive - used for session id, password reset links etc. So they do need to be cryptographically random to avoid somebody guessing them or brute force them feasibly. The token is a ""long"" so it is 64 bits long. The code currently uses the java.util.Random class to generate these tokens. The documentation ([http://docs.oracle.com/javase/7/docs/api/java/util/Random.html][1]) for java.util.Random clearly states the following: Instances of java.util.Random are not cryptographically secure. Consider instead using SecureRandom to get a cryptographically secure pseudo-random number generator for use by security-sensitive applications. However, the way the code is currently using java.util.Random is this - It instantiates the java.security.SecureRandom class and then uses the SecureRandom.nextLong() method to obtain the seed that is used for instantiating the java.util.Randomclass. Then it uses java.util.Random.nextLong() method to generate the token. So my question now - Is it still insecure given that the java.util.Random is being seeded using java.security.SecureRandom? Do I need to modify the code so that it uses java.security.SecureRandom exclusively to generate the tokens? Currently the code seed's the Random once at startup",=https://stackoverflow.com/questions/11051205/difference-between-java-util-random-and-java-security-securerandom/11060526,=https://lonelycoding.com/difference-between-java-util-random-and-java-security-securerandom/,=https://www.owasp.org/images/5/53/OWASP_Code_Review_Guide_v2.pdf,,,,,,,,,,,,,,
" If you want a cryptographically strong random number in Java, you use SecureRandom. Unfortunately, SecureRandom can be very slow. If it uses /dev/random on Linux, it can block waiting for sufficient entropy to build up. How do you avoid the performance penalty? Has anyone used Uncommon Maths as a solution to this problem? Can anybody confirm that this performance problem has been solved in JDK 6?",=https://stackoverflow.com/questions/137212/how-to-solve-slow-java-securerandom,=https://tersesystems.com/blog/2015/12/17/the-right-way-to-use-securerandom/,=https://docs.oracle.com/javase/7/docs/api/java/security/SecureRandom.html,,,,,,,,,,,,,,
" In the context of security frameworks, a few terms commonly occur subject, user and principal, of which I have not been able to find a clear definition and the difference between them. So, what exactly do these terms mean, and why are these distinctions of subject and principal needed?",=https://stackoverflow.com/questions/4989063/what-is-the-meaning-and-difference-between-subject-user-and-principal,=https://docs.oracle.com/javase/8/docs/technotes/guides/security/jaas/JAASRefGuide.html,=https://docs.spring.io/spring-security/site/docs/5.0.3.RELEASE/reference/htmlsingle/,,,,,,,,,,,,,,
I have a program that reads server information from a configuration file and would like to encrypt the password in that configuration that can be read by my program and decrypted. Requirments: Encrypt plaintext password to be stored in the file Decrypt the encrypted password read in from the file from my program Any reccomendations on how i would go about doing this? I was thinking of writing my own algorithm but i feel it would be terribly insecure.,=https://stackoverflow.com/questions/1132567/encrypt-password-in-configuration-files/1132582,=https://security.stackexchange.com/questions/176840/i-want-to-pass-an-encrypted-password-to-another-program-to-decrypt,=https://cwe.mitre.org/data/definitions/312.html,,,,,,,,,,,,,,
" My company has been evaluating Spring MVC to determine if we should use it in one of our next projects. So far I love what I've seen, and right now I'm taking a look at the Spring Security module to determine if it's something we can/should use. Our security requirements are pretty basic; a user just needs to be able to provide a username and password to be able to access certain parts of the site (such as to get info about their account); and there are a handful of pages on the site (FAQs, Support, etc) where an anonymous user should be given access. In the prototype I've been creating, I have been storing a ""LoginCredentials"" object (which just contains username and password) in Session for an authenticated user; some of the controllers check to see if this object is in session to get a reference to the logged-in username, for example. I'm looking to replace this home-grown logic with Spring Security instead, which would have the nice benefit of removing any sort of ""how do we track logged in users?"" and ""how do we authenticate users?"" from my controller/business code. It seems like Spring Security provides a (per-thread) ""context"" object to be able to access the username/principal info from anywhere in your app... Object principal = SecurityContextHolder.getContext().getAuthentication().getPrincipal(); ... which seems very un-Spring like as this object is a (global) singleton, in a way. My question is this: if this is the standard way to access information about the authenticated user in Spring Security, what is the accepted way to inject an Authentication object into the SecurityContext so that it is available for my unit tests when the unit tests require an authenticated user? Do I need to wire this up in the initialization method of each test case? protected void setUp() throws Exception {    ...    SecurityContextHolder.getContext().setAuthentication(        new UsernamePasswordAuthenticationToken(testUser.getLogin(), testUser.getPassword()));    ...} This seems overly verbose. Is there an easier way? The SecurityContextHolder object itself seems very un-Spring-like...",=https://stackoverflow.com/questions/360520/unit-testing-with-spring-security%3Frq%3D1,//books.google.com/books?id=-_pRDwAAQBAJ,=https://code.i-harness.com/en/q/58048,,,,,,,,,,,,,,
" By looking at the file java.security of my JRE, I see that the keystore type to use by default is set to JKS. Here, there is a list of the keystore types that can be used. Is there a recommended keystore type? What are the pros/cons of the different keystore types?",=https://stackoverflow.com/questions/11536848/keystore-type-which-one-to-use,=https://stackoverflow.com/questions/10839303/specification-of-jks-key-store-format/10845361,=https://security.stackexchange.com/questions/100584/where-should-a-keystore-jks-be-stored-in-a-repository,,,,,,,,,,,,,,
I am having a hard time understanding JAAS. It all seems more complicated than it should be (especially the Sun tutorials). I need a simple tutorial or example on how to implement security (authentication + authorization) in java application based on Struts + Spring + Hibernate with custom user repository. Can be implemented using ACEGI.,=https://stackoverflow.com/a/628425,//books.google.com/books?id=-_pRDwAAQBAJ,=https://medium.com/%40gustavo.ponce.ch/spring-boot-spring-mvc-spring-security-mysql-a5d8545d837d,,,,,,,,,,,,,,
